Code,Region/Country/Area,Year,Series,Value
4,Afghanistan,2015,GDP in current prices (millions of US dollars),18713.0
8,Albania,2015,GDP in current prices (millions of US dollars),11387.0
12,Algeria,2015,GDP in current prices (millions of US dollars),165979.0
20,Andorra,2015,GDP in current prices (millions of US dollars),2789.0
24,Angola,2015,GDP in current prices (millions of US dollars),116194.0
660,Anguilla,2015,GDP in current prices (millions of US dollars),331.0
28,Antigua and Barbuda,2015,GDP in current prices (millions of US dollars),1337.0
32,Argentina,2015,GDP in current prices (millions of US dollars),644903.0
51,Armenia,2015,GDP in current prices (millions of US dollars),10553.0
533,Aruba,2015,GDP in current prices (millions of US dollars),2963.0
36,Australia,2015,GDP in current prices (millions of US dollars),1245248.0
40,Austria,2015,GDP in current prices (millions of US dollars),381818.0
31,Azerbaijan,2015,GDP in current prices (millions of US dollars),53076.0
44,Bahamas,2015,GDP in current prices (millions of US dollars),11862.0
48,Bahrain,2015,GDP in current prices (millions of US dollars),31051.0
50,Bangladesh,2015,GDP in current prices (millions of US dollars),228785.0
52,Barbados,2015,GDP in current prices (millions of US dollars),4725.0
112,Belarus,2015,GDP in current prices (millions of US dollars),56455.0
56,Belgium,2015,GDP in current prices (millions of US dollars),462150.0
84,Belize,2015,GDP in current prices (millions of US dollars),2210.0
204,Benin,2015,GDP in current prices (millions of US dollars),11380.0
60,Bermuda,2015,GDP in current prices (millions of US dollars),6655.0
64,Bhutan,2015,GDP in current prices (millions of US dollars),2004.0
68,Bolivia (Plurin. State of),2015,GDP in current prices (millions of US dollars),33000.0
70,Bosnia and Herzegovina,2015,GDP in current prices (millions of US dollars),16212.0
72,Botswana,2015,GDP in current prices (millions of US dollars),13531.0
76,Brazil,2015,GDP in current prices (millions of US dollars),1802212.0
92,British Virgin Islands,2015,GDP in current prices (millions of US dollars),1279.0
96,Brunei Darussalam,2015,GDP in current prices (millions of US dollars),12930.0
100,Bulgaria,2015,GDP in current prices (millions of US dollars),50782.0
854,Burkina Faso,2015,GDP in current prices (millions of US dollars),11823.0
108,Burundi,2015,GDP in current prices (millions of US dollars),2811.0
132,Cabo Verde,2015,GDP in current prices (millions of US dollars),1596.0
116,Cambodia,2015,GDP in current prices (millions of US dollars),18050.0
120,Cameroon,2015,GDP in current prices (millions of US dollars),32186.0
124,Canada,2015,GDP in current prices (millions of US dollars),1556129.0
136,Cayman Islands,2015,GDP in current prices (millions of US dollars),4708.0
140,Central African Republic,2015,GDP in current prices (millions of US dollars),1695.0
148,Chad,2015,GDP in current prices (millions of US dollars),14401.0
152,Chile,2015,GDP in current prices (millions of US dollars),243919.0
156,China,2015,GDP in current prices (millions of US dollars),11061570.0
344,"China, Hong Kong SAR",2015,GDP in current prices (millions of US dollars),309386.0
446,"China, Macao SAR",2015,GDP in current prices (millions of US dollars),45048.0
170,Colombia,2015,GDP in current prices (millions of US dollars),293482.0
174,Comoros,2015,GDP in current prices (millions of US dollars),966.0
178,Congo,2015,GDP in current prices (millions of US dollars),11881.0
184,Cook Islands,2015,GDP in current prices (millions of US dollars),302.0
188,Costa Rica,2015,GDP in current prices (millions of US dollars),56442.0
384,C魌e d扞voire,2015,GDP in current prices (millions of US dollars),45780.0
191,Croatia,2015,GDP in current prices (millions of US dollars),50243.0
192,Cuba,2015,GDP in current prices (millions of US dollars),87206.0
531,Cura鏰o,2015,GDP in current prices (millions of US dollars),3043.0
196,Cyprus,2015,GDP in current prices (millions of US dollars),19901.0
203,Czechia,2015,GDP in current prices (millions of US dollars),188033.0
408,Dem. People's Rep. Korea,2015,GDP in current prices (millions of US dollars),16283.0
180,Dem. Rep. of the Congo,2015,GDP in current prices (millions of US dollars),37918.0
208,Denmark,2015,GDP in current prices (millions of US dollars),302673.0
262,Djibouti,2015,GDP in current prices (millions of US dollars),2445.0
212,Dominica,2015,GDP in current prices (millions of US dollars),541.0
214,Dominican Republic,2015,GDP in current prices (millions of US dollars),71155.0
218,Ecuador,2015,GDP in current prices (millions of US dollars),99290.0
818,Egypt,2015,GDP in current prices (millions of US dollars),317745.0
222,El Salvador,2015,GDP in current prices (millions of US dollars),23438.0
226,Equatorial Guinea,2015,GDP in current prices (millions of US dollars),13176.0
232,Eritrea,2015,GDP in current prices (millions of US dollars),2013.0
233,Estonia,2015,GDP in current prices (millions of US dollars),22882.0
748,Eswatini,2015,GDP in current prices (millions of US dollars),4059.0
231,Ethiopia,2015,GDP in current prices (millions of US dollars),63079.0
242,Fiji,2015,GDP in current prices (millions of US dollars),4682.0
246,Finland,2015,GDP in current prices (millions of US dollars),234440.0
250,France,2015,GDP in current prices (millions of US dollars),2438208.0
258,French Polynesia,2015,GDP in current prices (millions of US dollars),5324.0
266,Gabon,2015,GDP in current prices (millions of US dollars),14372.0
270,Gambia,2015,GDP in current prices (millions of US dollars),1378.0
268,Georgia,2015,GDP in current prices (millions of US dollars),14954.0
276,Germany,2015,GDP in current prices (millions of US dollars),3356236.0
288,Ghana,2015,GDP in current prices (millions of US dollars),50034.0
300,Greece,2015,GDP in current prices (millions of US dollars),195605.0
304,Greenland,2015,GDP in current prices (millions of US dollars),2499.0
308,Grenada,2015,GDP in current prices (millions of US dollars),997.0
320,Guatemala,2015,GDP in current prices (millions of US dollars),62186.0
324,Guinea,2015,GDP in current prices (millions of US dollars),8794.0
624,Guinea-Bissau,2015,GDP in current prices (millions of US dollars),1047.0
