Code,Region/Country/Area,Year,Series,Value
4,Afghanistan,2005,GDP in current prices (millions of US dollars),6221.0
8,Albania,2005,GDP in current prices (millions of US dollars),8052.0
12,Algeria,2005,GDP in current prices (millions of US dollars),103198.0
20,Andorra,2005,GDP in current prices (millions of US dollars),3160.0
24,Angola,2005,GDP in current prices (millions of US dollars),36971.0
660,Anguilla,2005,GDP in current prices (millions of US dollars),229.0
28,Antigua and Barbuda,2005,GDP in current prices (millions of US dollars),1015.0
32,Argentina,2005,GDP in current prices (millions of US dollars),200622.0
51,Armenia,2005,GDP in current prices (millions of US dollars),5226.0
533,Aruba,2005,GDP in current prices (millions of US dollars),2360.0
36,Australia,2005,GDP in current prices (millions of US dollars),762829.0
40,Austria,2005,GDP in current prices (millions of US dollars),315967.0
31,Azerbaijan,2005,GDP in current prices (millions of US dollars),13245.0
44,Bahamas,2005,GDP in current prices (millions of US dollars),9836.0
48,Bahrain,2005,GDP in current prices (millions of US dollars),15969.0
50,Bangladesh,2005,GDP in current prices (millions of US dollars),57628.0
52,Barbados,2005,GDP in current prices (millions of US dollars),3936.0
112,Belarus,2005,GDP in current prices (millions of US dollars),31232.0
56,Belgium,2005,GDP in current prices (millions of US dollars),385561.0
84,Belize,2005,GDP in current prices (millions of US dollars),1462.0
204,Benin,2005,GDP in current prices (millions of US dollars),6565.0
60,Bermuda,2005,GDP in current prices (millions of US dollars),4868.0
64,Bhutan,2005,GDP in current prices (millions of US dollars),797.0
68,Bolivia (Plurin. State of),2005,GDP in current prices (millions of US dollars),9549.0
70,Bosnia and Herzegovina,2005,GDP in current prices (millions of US dollars),11223.0
72,Botswana,2005,GDP in current prices (millions of US dollars),9759.0
76,Brazil,2005,GDP in current prices (millions of US dollars),891634.0
92,British Virgin Islands,2005,GDP in current prices (millions of US dollars),994.0
96,Brunei Darussalam,2005,GDP in current prices (millions of US dollars),10561.0
100,Bulgaria,2005,GDP in current prices (millions of US dollars),29869.0
854,Burkina Faso,2005,GDP in current prices (millions of US dollars),6144.0
108,Burundi,2005,GDP in current prices (millions of US dollars),1117.0
132,Cabo Verde,2005,GDP in current prices (millions of US dollars),1105.0
116,Cambodia,2005,GDP in current prices (millions of US dollars),6293.0
120,Cameroon,2005,GDP in current prices (millions of US dollars),19502.0
124,Canada,2005,GDP in current prices (millions of US dollars),1173158.0
136,Cayman Islands,2005,GDP in current prices (millions of US dollars),4010.0
140,Central African Republic,2005,GDP in current prices (millions of US dollars),1413.0
148,Chad,2005,GDP in current prices (millions of US dollars),6681.0
152,Chile,2005,GDP in current prices (millions of US dollars),122965.0
156,China,2005,GDP in current prices (millions of US dollars),2285962.0
344,"China, Hong Kong SAR",2005,GDP in current prices (millions of US dollars),181569.0
446,"China, Macao SAR",2005,GDP in current prices (millions of US dollars),12160.0
170,Colombia,2005,GDP in current prices (millions of US dollars),145619.0
174,Comoros,2005,GDP in current prices (millions of US dollars),787.0
178,Congo,2005,GDP in current prices (millions of US dollars),6647.0
184,Cook Islands,2005,GDP in current prices (millions of US dollars),199.0
188,Costa Rica,2005,GDP in current prices (millions of US dollars),20045.0
384,C魌e d扞voire,2005,GDP in current prices (millions of US dollars),17085.0
191,Croatia,2005,GDP in current prices (millions of US dollars),45835.0
192,Cuba,2005,GDP in current prices (millions of US dollars),42644.0
531,Cura鏰o,2005,GDP in current prices (millions of US dollars),2345.0
196,Cyprus,2005,GDP in current prices (millions of US dollars),18694.0
203,Czechia,2005,GDP in current prices (millions of US dollars),137143.0
408,Dem. People's Rep. Korea,2005,GDP in current prices (millions of US dollars),13031.0
180,Dem. Rep. of the Congo,2005,GDP in current prices (millions of US dollars),11965.0
208,Denmark,2005,GDP in current prices (millions of US dollars),264467.0
262,Djibouti,2005,GDP in current prices (millions of US dollars),709.0
212,Dominica,2005,GDP in current prices (millions of US dollars),364.0
214,Dominican Republic,2005,GDP in current prices (millions of US dollars),35510.0
218,Ecuador,2005,GDP in current prices (millions of US dollars),41507.0
818,Egypt,2005,GDP in current prices (millions of US dollars),94456.0
222,El Salvador,2005,GDP in current prices (millions of US dollars),14698.0
226,Equatorial Guinea,2005,GDP in current prices (millions of US dollars),8520.0
232,Eritrea,2005,GDP in current prices (millions of US dollars),1098.0
233,Estonia,2005,GDP in current prices (millions of US dollars),14104.0
748,Eswatini,2005,GDP in current prices (millions of US dollars),3178.0
231,Ethiopia,2005,GDP in current prices (millions of US dollars),12164.0
242,Fiji,2005,GDP in current prices (millions of US dollars),2981.0
246,Finland,2005,GDP in current prices (millions of US dollars),204804.0
250,France,2005,GDP in current prices (millions of US dollars),2196071.0
258,French Polynesia,2005,GDP in current prices (millions of US dollars),5703.0
266,Gabon,2005,GDP in current prices (millions of US dollars),9579.0
270,Gambia,2005,GDP in current prices (millions of US dollars),1028.0
268,Georgia,2005,GDP in current prices (millions of US dollars),6744.0
276,Germany,2005,GDP in current prices (millions of US dollars),2845732.0
288,Ghana,2005,GDP in current prices (millions of US dollars),22765.0
300,Greece,2005,GDP in current prices (millions of US dollars),247777.0
304,Greenland,2005,GDP in current prices (millions of US dollars),1850.0
308,Grenada,2005,GDP in current prices (millions of US dollars),695.0
320,Guatemala,2005,GDP in current prices (millions of US dollars),26779.0
324,Guinea,2005,GDP in current prices (millions of US dollars),4063.0
624,Guinea-Bissau,2005,GDP in current prices (millions of US dollars),587.0
328,Guyana,2005,GDP in current prices (millions of US dollars),1978.0
